scheme,TTLT_mean_s,TTLT_std_s,TTFT_mean_s,TTFT_std_s,P99_TPOT_mean_ms,P99_TPOT_std_ms,Ovhd_mean_s,Ovhd_std_s,Nreconf_mean,Nreconf_std,n_traces
SDA,416.8531,69.9273,10.9241,1.1722,42.5781,7.3995,0.0000,0.0000,0.0000,0.0000,30
RT,394.9635,50.5255,10.9241,1.1722,36.6771,3.2195,31.3815,22.6546,3.7667,2.2903,30
FM,376.0595,31.5322,10.9241,1.1722,37.0741,3.0678,14.2871,6.8674,2.5000,1.3844,30
DACI,372.0921,45.1061,10.9241,1.1722,36.8921,4.1715,5.9545,3.8037,2.3667,1.3287,30
