scheme,TTLT_mean_s,TTLT_std_s,TTFT_mean_s,TTFT_std_s,P99_TPOT_mean_ms,P99_TPOT_std_ms,Ovhd_mean_s,Ovhd_std_s,Nreconf_mean,Nreconf_std,n_traces
SDA,407.0551,55.6633,11.5133,1.3994,41.4226,5.7550,0.0000,0.0000,0.0000,0.0000,30
RT,504.8134,49.3966,11.5133,1.3994,44.1460,7.5416,94.9438,31.3230,10.4333,2.6418,30
FM,395.9595,42.4877,11.5133,1.3994,38.8807,3.3685,19.3501,16.1842,2.8667,2.3767,30
DACI,370.4539,44.8388,11.5133,1.3994,36.6889,4.3254,6.1839,4.1291,2.4333,1.4067,30
